State,District,Rainfall,Temperature
Gujarat,GANDHINAGAR,832.755759544427,27.47880632735424
Gujarat,GIR SOMNATH,739.1695579045589,27.231729489094192
Gujarat,JAMNAGAR,660.8538251187753,26.900597281027217
Gujarat,JUNAGADH,814.3055705535545,26.873576697711727
Gujarat,KACHCHH,465.2769649953581,27.202234206239932
Gujarat,KHEDA,829.2379603735669,27.92011478498731
Gujarat,MAHESANA,777.2414972235964,27.201563855351072
Gujarat,MAHISAGAR,881.7666226417042,28.204451451898613
Gujarat,MORBI,605.4292118292125,27.692810713822624
Gujarat,NARMADA,1224.103283547159,26.339954062941466
Gujarat,NAVSARI,2131.3089048999454,27.091406566254108
Gujarat,PANCH MAHALS,982.9652827256335,27.609777739834925
Gujarat,PATAN,700.637785566473,27.803363128460116
Gujarat,PORBANDAR,775.4044821607835,26.867681933105775
Gujarat,RAJKOT,735.0030792963964,27.15653835538887
Gujarat,SABAR KANTHA,862.030730630754,26.117941385195756
Gujarat,SURAT,1468.1140219155589,27.61652386043723
Gujarat,SURENDRANAGAR,664.5372193644953,27.656298239929225
Gujarat,TAPI,1490.2091559111102,27.139891652493606
Gujarat,VADODARA,987.9325572223311,27.77665895019366
Gujarat,VALSAD,2191.5049255151207,26.013206032158323
Haryana,AMBALA,889.1433967460465,23.09332917263473
Haryana,BHIWANI,408.1637807536538,25.355382197735246
Haryana,FARIDABAD,652.0938650768012,25.441243779865598
Haryana,FATEHABAD,378.83543159092375,25.228825983451188
Haryana,GURGAON,603.0093460496576,25.394440179878732
Haryana,HISAR,407.5270137395986,25.361107749946598
Haryana,JHAJJAR,544.261951325816,25.373664202982145
Haryana,JIND,504.4992856581674,24.872050513818852
Haryana,KAITHAL,533.7715074023163,24.508537965443217
Haryana,KARNAL,661.3719027127287,24.438710463414974
Haryana,KURUKSHETRA,690.1523482879785,24.067247891894123
Haryana,MAHENDRAGARH,503.0943445293449,25.407897750254996
Haryana,MEWAT,666.8255538357537,25.540586282515495
Haryana,PALWAL,700.564323697631,25.5053700151903
Haryana,PANCHKULA,1064.843661810162,20.81433625431599
Haryana,PANIPAT,627.2045096220519,24.81922973507474
Haryana,REWARI,546.475708634961,25.344033275270775
Haryana,ROHTAK,519.444388559119,25.263901441574337
Haryana,SIRSA,339.1257507823423,25.445889086549347
Haryana,SONIPAT,601.9439152460549,25.05099022773361
Haryana,YAMUNANAGAR,1082.2661749785798,23.906211497885174
Himachal Pradesh,BILASPUR,1215.7760215941487,23.310856565787972
Himachal Pradesh,CHAMBA,2023.5209763865296,14.218446260287264
Himachal Pradesh,HAMIRPUR,1657.4780575015639,25.465675665054945
Himachal Pradesh,KANGRA,2111.7362601329996,22.021350921435904
Himachal Pradesh,KINNAUR,971.4382423127875,-1.4486567302933622
Himachal Pradesh,KULLU,1750.1714317684439,10.073322255687167
Himachal Pradesh,MANDI,1435.1955890604406,21.190307588940733
Himachal Pradesh,SHIMLA,1302.8889789261048,11.685982860881536
Himachal Pradesh,SIRMAUR,1497.6550275224545,17.208861694157363
Himachal Pradesh,SOLAN,1208.4259588807518,20.862442052831806
Himachal Pradesh,UNA,1461.8629275871233,25.37178884491942
Jammu and Kashmir,ANANTNAG,995.104305516392,8.30312608352907
Jammu and Kashmir,BADGAM,793.7595108074667,11.629419693425106
Jammu and Kashmir,DODA,1237.3243988751815,13.356786157908578
Jammu and Kashmir,GANDERBAL,1192.1544986256908,5.706189793047122
Jammu and Kashmir,JAMMU,1211.393057357842,23.23776042294328
Jammu and Kashmir,KATHUA,1549.347476005968,17.529620314441924
Jammu and Kashmir,KISHTWAR,969.1951581686974,2.9967627129503573
Jammu and Kashmir,KULGAM,972.9613406423599,12.9397816689285
Jammu and Kashmir,KUPWARA,1415.3322696074422,13.773868508691582
Jammu and Kashmir,PULWAMA,862.7667889221126,9.9452428192201
Jammu and Kashmir,RAMBAN,1286.819876374598,18.65915182459847
Jammu and Kashmir,REASI,1577.317208047461,18.30410366866734
Jammu and Kashmir,SAMBA,1473.2197364105157,21.45151148615124
Jammu and Kashmir,SRINAGAR,947.9763192690826,9.932644663274239
Jammu and Kashmir,UDHAMPUR,1556.1127345271668,18.381941351453026
Jharkhand,BOKARO,1418.8091749212274,25.77754813987445
